task,trial,subject,video_path,start_frame,end_frame,gesture,clip_path
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,722,897,G3,/kaggle/working/clips/train_63.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,898,940,G6,/kaggle/working/clips/train_64.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,941,1001,G9,/kaggle/working/clips/train_65.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1002,1085,G4,/kaggle/working/clips/train_66.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1086,1172,G2,/kaggle/working/clips/train_67.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1173,1317,G3,/kaggle/working/clips/train_68.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1318,1382,G6,/kaggle/working/clips/train_69.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1383,1489,G9,/kaggle/working/clips/train_70.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1490,1563,G4,/kaggle/working/clips/train_71.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1564,1613,G2,/kaggle/working/clips/train_72.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1614,1842,G3,/kaggle/working/clips/train_73.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1843,1893,G6,/kaggle/working/clips/train_74.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1894,1912,G9,/kaggle/working/clips/train_75.npy
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1913,2032,G11,/kaggle/working/clips/train_76.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,5,78,G1,/kaggle/working/clips/train_77.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,79,203,G5,/kaggle/working/clips/train_78.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,204,550,G8,/kaggle/working/clips/train_79.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,551,613,G2,/kaggle/working/clips/train_80.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,614,862,G3,/kaggle/working/clips/train_81.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,863,1115,G6,/kaggle/working/clips/train_82.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1116,1272,G4,/kaggle/working/clips/train_83.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1273,1402,G2,/kaggle/working/clips/train_84.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1403,1729,G3,/kaggle/working/clips/train_85.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1730,1890,G6,/kaggle/working/clips/train_86.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1891,2011,G4,/kaggle/working/clips/train_87.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2012,2094,G2,/kaggle/working/clips/train_88.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2095,2481,G3,/kaggle/working/clips/train_89.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2482,2772,G6,/kaggle/working/clips/train_90.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2773,2877,G4,/kaggle/working/clips/train_91.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2878,2936,G2,/kaggle/working/clips/train_92.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2937,3127,G3,/kaggle/working/clips/train_93.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,3128,3289,G6,/kaggle/working/clips/train_94.npy
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,3290,3424,G11,/kaggle/working/clips/train_95.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,57,130,G1,/kaggle/working/clips/train_96.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,131,170,G5,/kaggle/working/clips/train_97.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,171,237,G2,/kaggle/working/clips/train_98.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,238,537,G3,/kaggle/working/clips/train_99.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,538,695,G6,/kaggle/working/clips/train_100.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,696,804,G4,/kaggle/working/clips/train_101.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,805,867,G2,/kaggle/working/clips/train_102.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,868,1121,G3,/kaggle/working/clips/train_103.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1122,1261,G6,/kaggle/working/clips/train_104.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1262,1435,G4,/kaggle/working/clips/train_105.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1436,1484,G2,/kaggle/working/clips/train_106.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1485,1668,G3,/kaggle/working/clips/train_107.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1669,1809,G6,/kaggle/working/clips/train_108.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1810,1902,G9,/kaggle/working/clips/train_109.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1903,1976,G6,/kaggle/working/clips/train_110.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,1977,2141,G4,/kaggle/working/clips/train_111.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,2142,2188,G2,/kaggle/working/clips/train_112.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,2189,2415,G3,/kaggle/working/clips/train_113.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,2416,2527,G6,/kaggle/working/clips/train_114.npy
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,2528,2926,G11,/kaggle/working/clips/train_115.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,21,57,G1,/kaggle/working/clips/train_116.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,58,134,G5,/kaggle/working/clips/train_117.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,135,221,G8,/kaggle/working/clips/train_118.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,222,294,G2,/kaggle/working/clips/train_119.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,295,402,G3,/kaggle/working/clips/train_120.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,403,466,G6,/kaggle/working/clips/train_121.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,467,528,G9,/kaggle/working/clips/train_122.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,529,621,G4,/kaggle/working/clips/train_123.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,622,689,G2,/kaggle/working/clips/train_124.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,690,820,G3,/kaggle/working/clips/train_125.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,821,875,G6,/kaggle/working/clips/train_126.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,876,930,G9,/kaggle/working/clips/train_127.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,931,1011,G4,/kaggle/working/clips/train_128.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1012,1115,G2,/kaggle/working/clips/train_129.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1116,1249,G3,/kaggle/working/clips/train_130.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1250,1336,G6,/kaggle/working/clips/train_131.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1337,1373,G9,/kaggle/working/clips/train_132.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1374,1433,G4,/kaggle/working/clips/train_133.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1434,1496,G2,/kaggle/working/clips/train_134.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1497,1625,G3,/kaggle/working/clips/train_135.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1626,1678,G6,/kaggle/working/clips/train_136.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1679,1714,G9,/kaggle/working/clips/train_137.npy
Suturing,Suturing_D005,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D005_capture2.avi,1715,1779,G11,/kaggle/working/clips/train_138.npy
Suturing,Suturing_D001,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D001_capture2.avi,118,145,G1,/kaggle/working/clips/train_139.npy
Suturing,Suturing_D001,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D001_capture2.avi,146,196,G5,/kaggle/working/clips/train_140.npy
Suturing,Suturing_D001,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D001_capture2.avi,197,350,G8,/kaggle/working/clips/train_141.npy
Suturing,Suturing_D001,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D001_capture2.avi,351,425,G2,/kaggle/working/clips/train_142.npy
Suturing,Suturing_D001,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D001_capture2.avi,426,541,G3,/kaggle/working/clips/train_143.npy
Suturing,Suturing_D001,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D001_capture2.avi,542,635,G6,/kaggle/working/clips/train_144.npy
Suturing,Suturing_D001,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D001_capture2.avi,636,853,G9,/kaggle/working/clips/train_145.npy
