task,trial,subject,video_path,start_frame,end_frame,gesture
Suturing,Suturing_E001,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E001_capture2.avi,3077,3593,G11
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,1,94,G5
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,95,188,G8
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,189,239,G2
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,240,479,G3
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,480,697,G6
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,698,816,G4
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,817,905,G2
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,906,1287,G3
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,1288,1464,G6
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,1465,1582,G4
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,1583,1627,G2
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,1628,1889,G3
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,1890,2029,G6
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,2030,2185,G4
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,2186,2232,G2
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,2233,2462,G3
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,2463,2670,G8
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,2671,3010,G3
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,3011,3159,G6
Suturing,Suturing_G002,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G002_capture2.avi,3160,3379,G11
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,35,85,G1
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,86,164,G5
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,165,215,G8
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,216,294,G2
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,295,532,G3
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,533,753,G6
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,754,854,G4
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,855,934,G2
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,935,1145,G3
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1146,1254,G6
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1255,1369,G4
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1370,1475,G2
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1476,1701,G3
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1702,1801,G6
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1802,1995,G4
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,1996,2199,G2
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,2200,2498,G3
Suturing,Suturing_F001,F,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_F001_capture2.avi,2499,2838,G11
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1,11,G1
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,12,101,G5
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,102,446,G8
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,447,516,G2
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,517,967,G3
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,968,1115,G6
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1116,1186,G4
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1187,1261,G2
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1262,1489,G3
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1490,1667,G6
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1668,1779,G4
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1780,1845,G2
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,1846,2089,G3
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2090,2234,G6
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2235,2329,G4
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2330,2372,G2
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2373,2588,G3
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2589,2693,G6
Suturing,Suturing_B005,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B005_capture2.avi,2694,2848,G11
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,1,75,G1
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,76,193,G5
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,194,381,G8
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,382,475,G2
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,476,660,G3
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,661,816,G6
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,817,990,G4
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,991,1022,G9
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,1023,1173,G4
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,1174,1295,G2
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,1296,1533,G3
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,1534,2014,G6
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,2015,2059,G9
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,2060,2271,G4
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,2272,2401,G2
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,2402,2631,G3
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,2632,2860,G6
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,2861,3046,G4
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,3047,3149,G2
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,3150,3566,G3
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,3567,3780,G6
Suturing,Suturing_H004,H,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_H004_capture2.avi,3781,4020,G11
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,31,77,G1
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,78,129,G5
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,130,182,G2
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,183,342,G3
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,343,427,G6
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,428,522,G9
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,523,630,G4
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,631,721,G2
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,722,897,G3
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,898,940,G6
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,941,1001,G9
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1002,1085,G4
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1086,1172,G2
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1173,1317,G3
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1318,1382,G6
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1383,1489,G9
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1490,1563,G4
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1564,1613,G2
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1614,1842,G3
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1843,1893,G6
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1894,1912,G9
Suturing,Suturing_D002,D,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_D002_capture2.avi,1913,2032,G11
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,5,78,G1
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,79,203,G5
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,204,550,G8
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,551,613,G2
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,614,862,G3
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,863,1115,G6
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1116,1272,G4
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1273,1402,G2
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1403,1729,G3
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1730,1890,G6
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,1891,2011,G4
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2012,2094,G2
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2095,2481,G3
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2482,2772,G6
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2773,2877,G4
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2878,2936,G2
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,2937,3127,G3
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,3128,3289,G6
Suturing,Suturing_B002,B,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_B002_capture2.avi,3290,3424,G11
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,1,149,G5
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,150,366,G8
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,367,498,G2
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,499,772,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,773,938,G6
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,939,1131,G4
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,1132,1225,G5
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,1226,1353,G6
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,1354,1477,G2
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,1478,2418,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,2419,2620,G8
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,2621,2670,G2
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,2671,2854,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,2855,2990,G8
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,2991,3111,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,3112,3509,G8
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,3510,3564,G2
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,3565,3646,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,3647,4096,G8
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,4097,4276,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,4277,4425,G6
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,4426,4556,G4
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,4557,4716,G9
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,4717,4835,G2
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,4836,5003,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,5004,5632,G8
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,5633,5846,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,5847,6253,G6
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,6254,6406,G4
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,6407,6520,G2
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,6521,7627,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,7628,7655,G6
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,7656,8181,G8
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,8182,8280,G2
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,8281,8675,G3
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,8676,8833,G6
Suturing,Suturing_G001,G,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_G001_capture2.avi,8834,9012,G11
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,57,130,G1
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,131,170,G5
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,171,237,G2
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,238,537,G3
Suturing,Suturing_E004,E,/kaggle/input/datasets/anaghabpoojari11/surgbench/Suturing/Suturing/video/Suturing_E004_capture2.avi,538,695,G6
